id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
1d996555-92f2-44a3-ad2b-ac60e2a78fc6,Ja'Marr,Chase,1.2,290,WR1,WR,Cincinnati Bengals,,,1
2fdb545b-6a48-4401-a5eb-4034b2995ee0,Saquon,Barkley,2.3,320,RB1,RB,Philadelphia Eagles,,,2.3
6503183a-f8ca-4cf0-b0fb-48fead41d769,Bijan,Robinson,3.2,310,RB2,RB,Atlanta Falcons,,,3.2
a2db6303-7e2d-419e-91aa-7da486ce2b02,Jahmyr,Gibbs,4.2,305,RB3,RB,Detroit Lions,,,4.2
422038fd-93e2-4c67-a460-e5facc1bdced,Justin,Jefferson,4.6,259,WR2,WR,Minnesota Vikings,,,4.6
f66bc308-bced-4444-b172-977958215ab4,CeeDee,Lamb,6.4,231,WR3,WR,Dallas Cowboys,,,6.4
4eb0d173-f561-42bb-9c52-39c3531b9a86,Puka,Nacua,7.3,266,WR4,WR,Los Angeles Rams,,,7.3
bf0575ec-4089-4091-9e7b-850f61891ee9,Nico,Collins,8.6,241,WR5,WR,Houston Texans,,,8.6
349e907e-e567-4057-9d80-795746d7c6a6,Amon-Ra,St. Brown,9.3,219,WR6,WR,Detroit Lions,,,9.3
0360bf08-dd43-42f9-8550-cde9aef5b866,Brian,Thomas,10.3,227,WR7,WR,Jacksonville Jaguars,,,10.3
2c81e528-d5ef-4a8e-b4ad-8ce2473ed5c2,Malik,Nabers,10.4,213,WR8,WR,NY Giants,,,10.4
83eddf47-443a-461a-acfd-0f7b5ac591e2,De'Von,Achane,12.9,297,RB4,RB,Miami Dolphins,,,12.9
6645a4d3-982e-46e3-85c0-9ee8c02c960f,Derrick,Henry,14.1,261,RB5,RB,Baltimore Ravens,,,14.1
dc9f2658-d0ce-477a-8c1f-d0b70c3a3c25,Ashton,Jeanty,14.2,230,RB6,RB,,,,14.2
04d1ac15-139e-4cd8-851c-1d012052e218,Christian,McCaffrey,14.8,275,RB7,RB,San Francisco 49ers,,,14.8
281b1a6a-01d3-4e05-9b60-246f368b992c,Drake,London,16.2,203,WR9,WR,Atlanta Falcons,,,16.2
58ba7c68-9c3e-426e-bc55-5f4886a51271,Brock,Bowers,17,207,TE1,TE,Las Vegas Raiders,,,17
af3adbdb-81ac-454a-949f-27d4e88f5295,A.J.,Brown,17.7,201,WR10,WR,Philadelphia Eagles,,,17.7
536984ff-799a-482a-b05f-474371dbe4d0,Ladd,McConkey,18.9,203,WR11,WR,Los Angeles Chargers,,,18.9
d35f5475-cf67-44c1-9188-75cc60c1abc9,Jonathan,Taylor,19.8,255,RB8,RB,Indianapolis Colts,,,19.8
7cb76137-a617-4f3c-b239-60d210941830,Josh,Jacobs,22.6,238,RB9,RB,Green Bay Packers,,,22.6
f2c91a03-4c4c-42df-b99d-031af6a078d5,Bucky,Irving,23.5,228,RB10,RB,Tampa Bay Buccaneers,,,23.5
82b0af94-730f-492e-8a38-eec67065a037,Tyreek,Hill,23.6,167,WR12,WR,Miami Dolphins,,,23.6
04fed5dd-f6d7-4497-a6f2-d64da88c9819,Tee,Higgins,24.6,200,WR13,WR,Cincinnati Bengals,,,24.6
e01af469-de70-4a2b-9bde-e0219de082c9,Terry,McLaurin,25.3,199,WR14,WR,Washington Commanders,,,25.3
